,url,label,with_ip,dot_count,at_Symbol_count,is_google_index,directory_count,embed_domain_count,digits_count,parameter_count,fragments_count,hostname,is_live,url_len,class
0,br-icloud.com.br,phishing,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br-icloud.com.br,False,23.0,0
1,mp3raid.com/music/krizz_kaliko.html,benign,True,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,mp3raid.com,False,42.0,1
2,bopsecrets.org/rexroth/cr/1.htm,benign,True,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,bopsecrets.org,False,38.0,1
3,http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,False,3.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,www.garage-pirenne.be,False,88.0,0
4,http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement,False,2.0,0.0,0.0,1.0,0.0,22.0,2.0,0.0,adventure-nicaragua.net,False,235.0,0
5,http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign,True,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,buzzfil.net,False,118.0,1
6,espn.go.com/nba/player/_/id/3457/brandon-rush,benign,True,2.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,espn.go.com,False,52.0,1
7,yourbittorrent.com/?q=anthony-hamilton-soulife,benign,True,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,yourbittorrent.com,False,53.0,1
8,http://www.pashminaonline.com/pure-pashminas,defacement,True,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,www.pashminaonline.com,False,44.0,0
9,allmusic.com/album/crazy-from-the-heat-r16990,benign,True,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,allmusic.com,True,52.0,1
10,corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,True,2.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,corporationwiki.com,False,69.0,1
11,http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement,False,3.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,www.ikenmijnkunst.nl,False,64.0,0
12,myspace.com/video/vid/30602581,benign,True,1.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,myspace.com,False,37.0,1
13,http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement,False,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,www.lebensmittel-ueberwachung.de,False,61.0,0
14,http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement,True,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,www.szabadmunkaero.hu,False,51.0,0
15,http://larcadelcarnevale.com/catalogo/palloncini,defacement,False,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,larcadelcarnevale.com,False,48.0,0
16,quickfacts.census.gov/qfd/maps/iowa_map.html,benign,False,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,quickfacts.census.gov,False,51.0,1
17,nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign,True,2.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,nugget.ca,False,59.0,1
18,uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign,True,2.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,uk.linkedin.com,False,53.0,1
19,http://www.vnic.co/khach-hang.html,defacement,True,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,www.vnic.co,True,34.0,0
20,baseball-reference.com/players/h/harrige01.shtml,benign,True,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,baseball-reference.com,False,55.0,1
